data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2023-10-01,202340,588.5,371,1077,173,0.9670044,8.721342,0,2,330455720234019642,2023-10-12,0.0,1.1164205,6747815.0,22.76,84.9342896,1,1,2,82.27322192,79.890628,23.14666656,23.56,,,,,,210697
2023-09-24,202339,502.0,437,610,365,0.3416843,7.439445,0,1,330455720233919642,2023-10-12,0.0,0.9747541,6747815.0,24.5,80.1512091666667,1,0,1,78.0517033333333,75.177973,25.0277776666667,25.8333333333333,,,,,,210697
2023-09-17,202338,530.0,504,568,473,0.9298345,7.8543944,0,1,330455720233819642,2023-10-12,0.0,1.0970955,6747815.0,22.8260869565217,81.1620977391304,1,0,1,74.1480354347826,67.119275,24.4347826086957,26.2173913043478,,,,,,210697
2023-09-10,202337,563.0,548,586,530,0.9972386,8.343442,0,1,330455720233719642,2023-10-12,0.0,1.1884019,6747815.0,19.0,80.604405,0,1,1,77.312465,70.757445,19.666667,20.5,,,,,,210697
2023-09-03,202336,447.0,436,461,427,0.05908835,6.6243668,0,1,330455720233619642,2023-10-12,0.0,0.90317285,6747815.0,19.625,,0,0,1,,,,,,,,,,210697
2023-08-27,202335,455.0,447,466,447,0.021202737,6.7429233,0,1,330455720233519642,2023-10-12,0.0,0.8779278,6747815.0,20.25,,0,0,1,,,,,,,,,,210697
2023-08-20,202334,508.0,501,518,506,0.16396719,7.5283628,0,1,330455720233419642,2023-10-12,0.0,0.9413518,6747815.0,20.875,,0,0,1,,,,,,,,,,210697
2023-08-13,202333,525.0,519,533,528,0.12405814,7.7802963,0,1,330455720233319642,2023-10-12,0.0,0.9323748,6747815.0,21.5,86.09184,1,0,1,86.09184,86.09184,21.5,21.5,,,,,,210697
2023-08-06,202332,524.0,521,531,534,0.020382844,7.7654767,0,1,330455720233219642,2023-10-12,0.0,0.88467294,6747815.0,21.1428571428571,82.1571714285714,1,0,1,79.6864765714286,77.4734881428571,21.6607142857143,22.1428571428571,,,,,,210697
2023-07-30,202331,593.0,591,597,598,0.033593506,8.78803,0,1,330455720233119642,2023-10-12,0.0,0.90163076,6747815.0,19.2857142857143,84.2062251428571,0,0,2,81.8267389523809,78.560654952381,19.5952380952381,20.0,,,,,,210697
2023-07-23,202330,550.0,550,550,558,6.613963e-09,8.150786,0,4,330455720233019642,2023-10-12,0.0,0.7286756,6747815.0,20.7,85.955215,0,0,1,84.06895175,81.572647,21.125,21.55,,,,,,210697
2023-07-16,202329,644.0,644,644,644,3.0499314e-09,9.54383,0,4,330455720232919642,2023-10-12,0.0,0.7404699,6747815.0,19.0,83.8028457142857,0,0,2,82.5253292857143,80.9689628571429,19.3265307142857,19.7142857142857,,,,,,210697
2023-07-09,202328,767.0,767,767,767,1.3665058e-09,11.366642,0,4,330455720232819642,2023-10-12,0.0,0.7536159,6747815.0,20.8571428571429,81.6048957142857,0,0,2,77.3474562857143,74.3449941428571,21.4795918571429,21.8571428571429,,,,,,210697
2023-07-02,202327,843.0,843,843,843,6.505907e-14,12.492933,0,4,330455720232719642,2023-10-12,0.0,0.71752924,6747815.0,17.45,82.800435,0,0,2,81.43199885,79.5288695,17.8642858,18.45,,,,,,210697
2023-06-25,202326,994.0,994,994,994,4.8075255e-09,14.730695,0,4,330455720232619642,2023-10-12,0.0,0.78490585,6747815.0,19.7142857142857,84.4387274285714,0,0,2,81.390786,78.5984042857143,20.2142857142857,20.7142857142857,,,,,,210697
2023-06-18,202325,1230.0,1230,1230,1230,0.08916155,18.228123,0,4,330455720232519642,2023-10-12,0.0,0.94786525,6747815.0,18.7,78.0046084,0,0,2,77.2142524,76.07663825,19.025,19.35,,,,,,210697
2023-06-11,202324,1343.0,1343,1343,1343,0.32328978,19.902739,0,4,330455720232419642,2023-10-12,0.0,0.9825403,6747815.0,21.85,86.6275873,1,0,2,84.6724368,83.2661139,22.0666666,22.25,,,,,,210697
2023-06-04,202323,1242.0,1242,1242,1242,1.591516e-07,18.405958,0,4,330455720232319642,2023-10-12,0.0,0.8225542,6747815.0,18.8421052631579,87.1452384210526,0,0,2,84.9866685263158,83.148884,19.0789472631579,19.2631578947368,,,,,,210697
2023-05-28,202322,1333.0,1333,1333,1333,2.7807456e-10,19.754543,0,4,330455720232219642,2023-10-12,0.0,0.7969502,6747815.0,20.2,88.834726,0,0,2,88.264806,87.6893094,20.2833332,20.5,,,,,,210697
2023-05-21,202321,1487.0,1487,1487,1487,1.877584e-07,22.036762,0,4,330455720232119642,2023-10-12,0.0,0.8367768,6747815.0,18.72,89.666396,0,0,2,78.27734368,58.07564868,22.05000016,26.08,,,,,,210697
2023-05-14,202320,1741.0,1741,1741,1741,0.3239595,25.800945,0,4,330455720232019642,2023-10-12,0.0,0.984702,6747815.0,18.1304347826087,87.2980060869565,0,0,2,76.8775522608696,61.8836966086957,20.4565217391304,22.7826086956522,,,,,,210697
2023-05-07,202319,1798.0,1798,1798,1798,0.9914367,26.645662,0,4,330455720231919642,2023-10-12,0.0,1.0845113,6747815.0,21.8636363636364,88.8520834545455,1,1,2,84.5371289090909,79.3549600909091,22.4515152727273,23.2727272727273,,,,,,210697
2023-04-30,202318,1927.0,1927,1927,1927,1.0,28.557392,0,4,330455720231819642,2023-10-12,0.0,1.2037061,6747815.0,22.7619047619048,88.057656952381,1,1,2,86.2529474285714,83.7905211428571,23.1031744761905,23.5714285714286,,,,,,210697
2023-04-23,202317,1575.0,1575,1575,1575,0.34384885,23.340889,0,4,330455720231719642,2023-10-12,0.0,0.9858297,6747815.0,20.4285714285714,92.4114291428571,0,0,2,78.7258365714286,60.3022841428571,23.3928571428571,27.1428571428571,,,,,,210697
2023-04-16,202316,1500.0,1500,1500,1500,0.21817228,22.229418,0,4,330455720231619642,2023-10-12,0.0,0.97217566,6747815.0,21.2857142857143,93.2862714285714,1,0,2,77.3964678571429,57.5178611428571,24.5178571428571,28.0,,,,,,210697
2023-04-09,202315,1792.0,1792,1792,1792,1.0,26.556746,0,4,330455720231519642,2023-10-12,0.0,1.219475,6747815.0,20.7142857142857,95.7458942857143,0,1,2,80.7760205714286,58.9473221428571,24.1904762857143,29.0,,,,,,210697
2023-04-02,202314,1417.0,1417,1417,1417,0.94349855,20.99939,0,4,330455720231419642,2023-10-12,0.0,1.062302,6747815.0,22.0,94.08686,1,0,2,78.9160121428571,61.5469862857143,24.619048,27.8571428571429,,,,,,210697
2023-03-26,202313,1586.0,1586,1586,1586,1.0,23.503904,0,4,330455720231319642,2023-10-12,0.0,1.3891081,6747815.0,23.5769230769231,89.6739012307692,1,1,2,80.4843574615385,69.4006986923077,25.5512818461538,28.0,,,,,,210697
2023-03-19,202312,1374.0,1374,1374,1374,1.0,20.362146,0,4,330455720231219642,2023-10-12,0.0,1.4324789,6747815.0,24.0,88.5891446153846,1,1,2,74.8795039230769,57.8367590769231,26.9166667692308,30.7692307692308,,,,,,210697
2023-03-12,202311,1118.0,1118,1118,1118,1.0,16.568327,0,4,330455720231119642,2023-10-12,0.0,1.4390835,6747815.0,24.8947368421053,82.1735726315789,1,1,2,81.4420851578947,80.7105981578947,24.9736842105263,25.0526315789474,,,,,,210697
2023-03-05,202310,946.0,946,946,946,1.0,14.019353,0,3,330455720231019642,2023-10-12,0.0,1.6312155,6747815.0,25.8571428571429,81.5570647142857,1,1,2,79.748143,78.1524784285714,26.1666665714286,26.4285714285714,,,,,,210697
2023-02-26,202309,860.0,860,860,860,1.0,12.744866,0,3,330455720230919642,2023-10-12,0.0,1.855006,6747815.0,26.5652173913043,79.2728502608696,1,1,2,76.7611115652174,74.7959257391304,27.0942027826087,27.5652173913043,,,,,,210697
2023-02-19,202308,505.0,505,505,505,0.99119925,7.483904,0,2,330455720230819642,2023-10-12,0.0,1.1679335,6747815.0,23.76,91.9395964,1,1,1,78.69903688,61.2907004,26.96333344,31.24,,,,,,210697
2023-02-12,202307,370.0,370,370,370,0.30698135,5.4832563,0,3,330455720230719642,2023-10-12,0.0,0.9639394,6747815.0,24.9333333333333,86.4308133333333,1,0,1,83.6260754666667,80.823998,25.3888888,25.8,,,,,,210697
2023-02-05,202306,520.0,520,520,520,1.0,7.706198,0,3,330455720230619642,2023-10-12,0.0,1.6603742,6747815.0,25.2857142857143,84.6093591428571,1,1,1,83.9598165714286,83.310275,25.2857142857143,25.2857142857143,,,,,,210697
2023-01-29,202305,373.0,373,373,373,0.9999986,5.527715,0,3,330455720230519642,2023-10-12,0.0,1.45847,6747815.0,25.5714285714286,83.8827211428571,1,1,1,79.6925188571429,72.2570682857143,26.5773808571429,28.5714285714286,,,,,,210697
2023-01-22,202304,311.0,311,311,311,0.99992234,4.608899,0,3,330455720230419642,2023-10-12,0.0,1.3896697,6747815.0,25.1428571428571,82.1437925714286,1,1,1,82.1437925714286,82.1437925714286,25.1428571428571,25.1428571428571,,,,,,210697
2023-01-15,202303,241.0,241,241,241,0.96839917,3.5715265,0,3,330455720230319642,2023-10-12,0.0,1.1932918,6747815.0,26.7142857142857,77.1570837142857,1,1,1,77.1570837142857,77.1570837142857,26.7142857142857,26.7142857142857,,,,,,210697
2023-01-08,202302,212.0,212,212,212,0.9856128,3.1417577,0,3,330455720230219642,2023-10-12,0.0,1.251553,6747815.0,23.4285714285714,89.9808285714286,1,1,1,82.592395,69.3316824285714,25.0714285714286,28.2857142857143,,,,,,210697
2023-01-01,202301,225.0,225,225,225,0.99999833,3.3344128,0,3,330455720230119642,2023-10-12,0.0,1.6408935,6747815.0,22.4285714285714,92.5873994285714,1,1,1,78.1880928571429,63.0343021428571,24.9761905714286,28.4285714285714,,,,,,210697
2022-12-25,202252,169.0,169,169,169,0.99848056,2.5045145,0,1,330455720225219642,2023-10-12,0.0,1.4212197,6747815.0,22.3333333333333,92.22857,1,1,1,80.6600933333333,69.358795,24.7015153333333,27.0,,,,,,210697
2022-12-18,202251,119.0,119,119,119,0.81340355,1.7635338,0,1,330455720225119642,2023-10-12,0.0,1.1260351,6747815.0,22.0,91.24947,1,0,1,83.38519,73.80251,23.0272435,25.0,,,,,,210697
2022-12-11,202250,126.0,126,126,126,0.973241,1.8672711,0,1,330455720225019642,2023-10-12,0.0,1.295677,6747815.0,21.0,90.3509966666667,0,1,1,73.5068166666667,51.23129,25.0713383333333,29.8333333333333,,,,,,210697
2022-12-04,202249,106.0,106,106,106,0.52531767,1.5708789,0,1,330455720224919642,2023-10-12,0.0,1.008763,6747815.0,22.0,89.375718,1,0,1,74.9937762857143,57.8374511428571,25.4740257142857,29.4285714285714,,,,,,210697
2022-11-27,202248,86.0,86,86,86,0.0019737158,1.2744867,0,1,330455720224819642,2023-10-12,0.0,0.67219293,6747815.0,22.8571428571429,88.6335014285714,1,0,0,78.5898624285714,63.9334018571429,25.4535717142857,29.8571428571429,,,,,,210697
2022-11-20,202247,94.0,94,94,94,0.0005106912,1.3930435,0,1,330455720224719642,2023-10-12,0.0,0.6508022,6747815.0,20.8571428571429,89.2448051428571,0,0,1,76.3102944285714,61.5849792857143,23.8928571428571,27.1428571428571,,,,,,210697
2022-11-13,202246,129.0,129,129,129,0.19049408,1.9117299,0,1,330455720224619642,2023-10-12,0.0,0.8993642,6747815.0,21.4285714285714,87.8801685714286,1,0,1,75.5614441428571,56.929929,23.9488097142857,27.7142857142857,,,,,,210697
2022-11-06,202245,171.0,171,171,171,0.94849133,2.5341537,0,1,330455720224519642,2023-10-12,0.0,1.2024918,6747815.0,19.5714285714286,92.3709128571429,0,0,1,80.2791155714286,62.8211107142857,21.9366882857143,25.2857142857143,,,,,,210697
2022-10-30,202244,131.0,131,131,131,0.2870343,1.9413692,0,1,330455720224419642,2023-10-12,0.0,0.9341007,6747815.0,19.4285714285714,90.9432542857143,0,0,1,77.4797042857143,58.5268647142857,22.2662907142857,25.8571428571429,,,,,,210697
2022-10-23,202243,139.0,139,139,139,0.79595286,2.059926,0,1,330455720224319642,2023-10-12,0.0,1.1069666,6747815.0,20.8571428571429,92.4297985714286,0,0,1,76.8328058571429,61.0625664285714,24.3634921428571,28.2857142857143,,,,,,210697
2022-10-16,202242,160.0,160,160,160,0.99927,2.3711379,0,1,330455720224219642,2023-10-12,0.0,1.4796615,6747815.0,21.2857142857143,88.5413314285714,1,1,1,75.5363142857143,54.6929215714286,24.4575568571429,29.1428571428571,,,,,,210697
2022-10-09,202241,123.0,123,123,123,0.9312313,1.8228123,0,1,330455720224119642,2023-10-12,0.0,1.2197336,6747815.0,21.4285714285714,90.8782,1,0,1,77.2842664285714,60.8568275714286,24.2857137142857,28.0,,,,,,210697
2022-10-02,202240,102.0,102,102,102,0.44156918,1.5116004,0,1,330455720224019642,2023-10-12,0.0,0.9797707,6747815.0,20.5714285714286,91.60248,0,0,1,80.4126357142857,67.2018535714286,22.1477271428571,24.5714285714286,,,,,,210697
2022-09-25,202239,95.0,95,95,95,0.1865138,1.4078631,0,1,330455720223919631,2023-10-01,0.0,0.8824809,6747815.0,18.7142857142857,90.0105634285714,0,0,1,82.4935828571429,68.5011511428571,20.3829032857143,23.2857142857143,,,,,,210697
2022-09-18,202238,102.0,102,102,102,0.46021026,1.5116004,0,1,330455720223819631,2023-10-01,0.0,0.9861838,6747815.0,17.4285714285714,88.99469,0,0,1,76.1413314285714,58.8222497142857,20.0054111428571,22.8571428571429,,,,,,210697
2022-09-11,202237,120.0,120,120,120,0.9246328,1.7783535,0,1,330455720223719621,2023-09-21,0.0,1.2145498,6747815.0,18.1428571428571,90.7172862857143,0,0,1,84.5921785714286,70.8711662857143,19.6130954285714,21.7142857142857,,,,,,210697
2022-09-04,202236,101.0,101,101,101,0.50855213,1.4967808,0,1,330455720223619614,2023-09-14,0.0,1.0030174,6747815.0,17.4285714285714,87.6832722857143,0,0,1,68.5189102857143,42.0150774285714,21.9880951428571,28.8571428571429,,,,,,210697
2022-08-28,202235,94.0,94,94,94,0.17768769,1.3930435,0,1,330455720223519611,2023-09-11,0.0,0.87790096,6747815.0,15.1428571428571,90.4563228571429,0,0,1,74.4666448571429,53.6497077142857,19.2015151428571,23.5714285714286,,,,,,210697
2022-08-21,202234,99.0,99,99,99,0.09569146,1.4671416,0,1,330455720223419601,2023-09-01,4.0,0.8375247,6747815.0,17.0,91.3912568571429,0,0,0,75.4263357142857,54.0289738571429,20.4471915714286,24.2857142857143,,,,,,210697
2022-08-14,202233,110.0,110,110,110,0.045986354,1.6301574,0,1,330455720223319594,2023-08-25,8.0,0.8065719,6747815.0,16.4285714285714,90.63613,0,0,0,73.3853142857143,53.3105808571429,20.4111722857143,25.1428571428571,,,,,,210697
2022-08-07,202232,106.0,106,106,106,0.0010959184,1.5708789,0,1,330455720223219589,2023-08-20,5.0,0.6826298,6747815.0,18.1428571428571,92.2922505714286,0,0,0,77.6299708571429,55.8497452857143,20.6964282857143,23.8571428571429,,,,,,210697
2022-07-31,202231,145.0,145,145,145,0.12629244,2.1488438,0,1,330455720223119589,2023-08-20,6.0,0.8781845,6747815.0,18.0,89.8375477142857,0,0,0,78.1457512857143,64.2537812857143,20.3988097142857,23.1428571428571,,,,,,210697
2022-07-24,202230,148.0,148,148,148,0.22881758,2.1933026,0,1,330455720223019589,2023-08-20,9.0,0.9190404,6747815.0,18.0,89.3700925714286,0,0,0,75.12184,45.8228994285714,21.7172272857143,27.4285714285714,,,,,,210697
2022-07-17,202229,194.0,194,194,194,0.93817145,2.8750048,0,1,330455720222919589,2023-08-20,21.0,1.1765893,6747815.0,19.5714285714286,91.61899,0,0,0,78.4269351428571,53.9214895714286,22.4583334285714,27.7142857142857,,,,,,210697
2022-07-10,202228,144.0,144,144,144,0.020630103,2.1340241,0,1,330455720222819589,2023-08-20,35.0,0.79695076,6747815.0,17.7142857142857,92.364022,0,0,0,77.0165278571429,54.06841,21.7990197142857,26.8571428571429,,,,,,210697
2022-07-03,202227,155.0,155,155,155,0.030116739,2.2970397,0,1,330455720222719589,2023-08-20,43.0,0.81655735,6747815.0,15.2857142857143,93.8056362857143,0,0,0,74.9100201428571,42.2480247142857,20.7554114285714,27.8571428571429,,,,,,210697
2022-06-26,202226,189.0,189,189,189,0.23043929,2.8009067,0,1,330455720222619589,2023-08-20,12.0,0.9283197,6747815.0,16.5714285714286,92.2948454285714,0,0,0,78.3092191428571,55.5202085714286,19.7630922857143,24.4285714285714,,,,,,210697
2022-06-19,202225,209.0,209,209,209,0.01570516,3.0972989,0,1,330455720222519589,2023-08-20,25.0,0.8186896,6747815.0,17.2857142857143,94.8229942857143,0,0,0,81.7343437142857,60.8576057142857,20.6190477142857,25.7142857142857,,,,,,210697
2022-06-12,202224,153.0,153,153,153,6.661338e-16,2.2674007,0,1,330455720222419589,2023-08-20,11.0,0.46959227,6747815.0,15.5714285714286,89.8782454285714,0,0,0,76.8445185714286,55.5584495714286,18.9523808571429,23.2857142857143,,,,,,210697
2022-06-05,202223,255.0,255,255,255,1.9040232e-07,3.779001,0,1,330455720222319589,2023-08-20,38.0,0.66627395,6747815.0,17.4285714285714,93.07622,0,0,0,84.0119471428571,70.643486,19.8292517142857,22.8571428571429,,,,,,210697
2022-05-29,202222,338.0,338,338,338,0.0007448157,5.009029,0,1,330455720222219589,2023-08-20,137.0,0.794098,6747815.0,19.0,93.168712,0,0,0,82.2815842857143,65.5172601428571,21.9430272857143,25.4285714285714,,,,,,210697
2022-05-22,202221,400.0,400,400,400,0.036282655,5.927845,0,1,330455720222119589,2023-08-20,13.0,0.8842123,6747815.0,15.7142857142857,93.8515145714286,0,0,1,76.0312177142857,47.0129841428571,20.8841997142857,26.8571428571429,,,,,,210697
2022-05-15,202220,406.0,406,406,406,0.26216424,6.0167623,0,3,330455720222019589,2023-08-20,13.0,0.9567877,6747815.0,17.5714285714286,87.4036151428571,0,0,1,69.924275,51.7932252857143,20.3273808571429,24.0,,,,,,210697
2022-05-08,202219,505.0,505,505,505,1.0,7.483904,0,3,330455720221919589,2023-08-20,27.0,1.4691758,6747815.0,19.5714285714286,91.54142,0,1,1,77.7365771428571,60.6792375714286,22.470238,26.1428571428571,,,,,,210697
2022-05-01,202218,461.0,461,461,461,1.0,6.831841,0,1,330455720221819589,2023-08-20,71.0,1.757393,6747815.0,21.4285714285714,90.1201028571429,1,1,1,76.414742,52.4865685714286,24.4535714285714,29.2857142857143,,,,,,210697
2022-04-24,202217,342.0,342,342,342,0.99999994,5.0683074,0,1,330455720221719589,2023-08-20,22.0,1.5684257,6747815.0,21.5714285714286,91.7367494285714,1,0,0,77.0176772857143,58.5233661428571,24.7781385714286,29.0,,,,,,210697
2022-04-17,202216,234.0,234,234,234,0.96292627,3.4677892,0,1,330455720221619589,2023-08-20,15.0,1.1878948,6747815.0,19.4285714285714,89.9170171428571,0,0,0,72.6356422857143,52.762528,23.5908385714286,28.2857142857143,,,,,,210697
2022-04-10,202215,201.0,201,201,201,0.9035646,2.9787421,0,2,330455720221519589,2023-08-20,17.0,1.1435883,6747815.0,22.0,92.4946777142857,1,0,0,77.5380571428571,57.9843671428571,24.6261904285714,28.1428571428571,,,,,,210697
2022-04-03,202214,222.0,222,222,222,0.9996232,3.289954,0,2,330455720221419589,2023-08-20,56.0,1.4169692,6747815.0,22.7142857142857,93.3633942857143,1,0,0,80.9235035714286,63.6890641428571,25.0226188571429,28.1428571428571,,,,,,210697
2022-03-27,202213,153.0,153,153,153,0.87866074,2.2674007,0,2,330455720221319589,2023-08-20,14.0,1.1480515,6747815.0,23.8571428571429,91.0224414285714,1,0,0,78.4215422857143,61.7570202857143,26.2213772857143,30.0,,,,,,210697
2022-03-20,202212,177.0,177,177,177,0.99998975,2.6230714,0,2,330455720221219589,2023-08-20,6.0,1.6721373,6747815.0,22.0,88.5834842857143,1,0,0,69.8232521428571,47.7597717142857,26.3018708571429,31.5714285714286,,,,,,210697
2022-03-13,202211,126.0,126,126,126,0.9995368,1.8672711,0,2,330455720221119589,2023-08-20,21.0,1.5969439,6747815.0,24.2857142857143,88.0031728571429,1,0,0,71.7843947142857,51.2131588571429,27.9057827142857,32.8571428571429,,,,,,210697
2022-03-06,202210,116.0,116,116,116,0.9999886,1.719075,0,2,330455720221019589,2023-08-20,10.0,1.9214933,6747815.0,23.8571428571429,88.6337057142857,1,0,0,65.9678482857143,40.089502,28.6607142857143,34.4285714285714,,,,,,210697
2022-02-27,202209,66.0,66,66,66,0.95925915,0.9780944,0,2,330455720220919589,2023-08-20,5.0,1.388137,6747815.0,24.0,91.8047485714286,1,0,0,70.8325442857143,42.5332815714286,28.285714,34.0,,,,,,210697
2022-02-20,202208,62.0,62,62,62,0.99381524,0.918816,0,2,330455720220819589,2023-08-20,18.0,1.661781,6747815.0,23.7142857142857,95.0573185714286,1,0,0,80.6074448571429,59.0175308571429,26.6845237142857,31.2857142857143,,,,,,210697
2022-02-13,202207,47.0,47,47,47,0.9801541,0.69652176,0,2,330455720220719589,2023-08-20,7.0,1.6082743,6747815.0,23.2857142857143,94.9782342857143,1,0,0,83.4910728571429,67.0723314285714,25.4880954285714,29.0,,,,,,210697
2022-02-06,202206,35.0,35,35,35,0.94199926,0.5186864,0,2,330455720220619589,2023-08-20,11.0,1.5122932,6747815.0,22.4285714285714,93.3907614285714,1,0,0,82.9531077142857,65.3315088571429,24.6369045714286,27.5714285714286,,,,,,210697
2022-01-30,202205,31.0,31,31,31,0.9478434,0.459408,0,2,330455720220519589,2023-08-20,8.0,1.5822237,6747815.0,23.7142857142857,95.8386157142857,1,0,0,82.0471292857143,62.0210371428571,26.5605958571429,31.2857142857143,,,,,,210697
2022-01-23,202204,19.0,19,19,19,0.6105481,0.28157264,0,2,330455720220419589,2023-08-20,11.0,1.096521,6747815.0,24.7142857142857,84.0763728571429,1,0,0,69.4298987142857,51.1744185714286,28.130952,32.4285714285714,,,,,,210697
2022-01-16,202203,22.0,22,22,22,0.8887985,0.32603148,0,2,330455720220319589,2023-08-20,9.0,1.4949968,6747815.0,24.7142857142857,88.9920142857143,1,0,0,75.7381385714286,58.2519598571429,27.729342,31.8571428571429,,,,,,210697
2022-01-09,202202,14.0,14,14,14,0.73460084,0.20747457,0,2,330455720220219589,2023-08-20,120.0,1.2812386,6747815.0,22.8571428571429,95.0442514285714,1,0,0,85.3748222857143,67.319631,25.1547617142857,28.5714285714286,,,,,,210697
2022-01-02,202201,21.0,21,21,21,0.9570529,0.31121185,0,2,330455720220119589,2023-08-20,94.0,1.8385291,6747815.0,24.1428571428571,92.0493744285714,1,0,0,78.1829721428571,59.3483315714286,26.7853692857143,30.1428571428571,,,,,,210697
2021-12-26,202152,5.0,5,5,5,0.0011612967,0.07409806,0,2,330455720215219589,2023-08-20,14.0,0.26018125,6747815.0,21.8571428571429,92.6196437142857,1,0,0,79.3975965714286,59.640615,25.0732637142857,29.5714285714286,,,,,,210697
2021-12-19,202151,9.0,9,9,9,9.478858e-05,0.13337651,0,1,330455720215119589,2023-08-20,9.0,0.2819798,6747815.0,21.1428571428571,91.6203042857143,1,0,0,73.5710337142857,54.0373758571429,24.6177537142857,28.4285714285714,,,,,,210697
2021-12-12,202150,14.0,14,14,14,4.8907874e-05,0.20747457,0,1,330455720215019589,2023-08-20,227.0,0.33063152,6747815.0,23.5714285714286,95.9036871428571,1,0,0,80.4814391428571,54.9658114285714,26.6749482857143,32.2857142857143,,,,,,210697
2021-12-05,202149,35.0,35,35,35,0.13754033,0.5186864,0,1,330455720214919589,2023-08-20,12.0,0.78335875,6747815.0,21.0,90.970498,0,0,0,77.4760968571429,58.171887,23.7611282857143,27.8571428571429,,,,,,210697
2021-11-28,202148,46.0,46,46,46,0.86798495,0.68170214,0,1,330455720214819589,2023-08-20,12.0,1.2794458,6747815.0,22.7142857142857,91.7849422857143,1,0,0,75.5475885714286,53.4289278571429,25.3863868571429,29.2857142857143,,,,,,210697
2021-11-21,202147,51.0,51,51,51,0.9996854,0.7558002,0,1,330455720214719589,2023-08-20,16.0,2.2873557,6747815.0,20.1428571428571,89.9903385714286,0,0,0,71.3605411428571,51.0229435714286,24.1779828571429,29.1428571428571,,,,,,210697
2021-11-14,202146,44.0,44,44,44,0.99996114,0.65206295,0,1,330455720214619589,2023-08-20,20.0,3.0027425,6747815.0,19.7142857142857,90.714262,0,0,0,73.0223825714286,49.990032,23.707792,29.2857142857143,,,,,,210697
2021-11-07,202145,11.0,11,11,11,0.4081164,0.16301574,0,1,330455720214519589,2023-08-20,8.0,0.90934765,6747815.0,18.7142857142857,94.06623,0,0,0,80.851583,65.6115451428571,21.12987,24.0,,,,,,210697
2021-10-31,202144,16.0,16,16,16,0.7620263,0.23711379,0,1,330455720214419589,2023-08-20,7.0,1.3038611,6747815.0,20.2857142857143,95.7338671428572,0,0,0,85.6837015714286,72.8984982857143,22.270022,25.0,,,,,,210697
2021-10-24,202143,11.0,11,11,11,0.27964655,0.16301574,0,1,330455720214319589,2023-08-20,22.0,0.7936939,6747815.0,21.1428571428571,92.5045,1,0,0,83.2651894285714,69.6394221428571,22.8246757142857,25.4285714285714,,,,,,210697
2021-10-17,202142,9.0,9,9,9,0.079950415,0.13337651,0,1,330455720214219589,2023-08-20,29.0,0.5681974,6747815.0,18.5714285714286,94.0046228571428,0,0,0,82.5214742857143,68.02223,20.5997082857143,23.4285714285714,,,,,,210697
2021-10-10,202141,19.0,19,19,19,0.5382705,0.28157264,0,1,330455720214119589,2023-08-20,59.0,1.0315534,6747815.0,20.1428571428571,92.5515057142857,0,0,0,79.9752265714286,61.2163252857143,22.9328062857143,27.1428571428571,,,,,,210697
2021-10-03,202140,8.0,8,8,8,0.017758114,0.118556894,0,1,330455720214019589,2023-08-20,15.0,0.4325298,6747815.0,20.0,94.8538391428571,0,0,0,80.53411,59.9628802857143,22.4761905714286,27.1428571428571,,,,,,210697
2021-09-26,202139,28.0,28,28,28,0.8694807,0.41494915,0,1,330455720213919589,2023-08-20,7.0,1.3809872,6747815.0,20.8571428571429,90.0618985714286,0,0,0,73.4061048571429,53.2812095714286,24.0419257142857,28.2857142857143,,,,,,210697
2021-09-19,202138,13.0,13,13,13,0.020445304,0.19265495,0,1,330455720213819589,2023-08-20,9.0,0.51144993,6747815.0,18.8571428571429,90.6237542857143,0,0,0,70.2171698571429,47.7125257142857,22.6130951428571,27.4285714285714,,,,,,210697
2021-09-12,202137,19.0,19,19,19,0.056793313,0.28157264,0,1,330455720213719589,2023-08-20,8.0,0.63491184,6747815.0,20.7142857142857,93.2390928571429,0,0,0,77.9427294285714,57.4929954285714,24.0795451428571,28.8571428571429,,,,,,210697
2021-09-05,202136,25.0,25,25,25,0.3086053,0.3704903,0,1,330455720213619589,2023-08-20,8.0,0.8731973,6747815.0,20.7142857142857,91.6350814285714,0,0,0,78.2524162857143,62.2533152857143,23.4010445714286,27.1428571428571,,,,,,210697
2021-08-29,202135,34.0,34,34,34,0.9253942,0.5038668,0,1,330455720213519589,2023-08-20,6.0,1.4652597,6747815.0,19.0,93.2219177142857,0,0,0,78.4378828571429,56.484506,22.1879117142857,26.1428571428571,,,,,,210697
2021-08-22,202134,34.0,34,34,34,0.9679456,0.5038668,0,1,330455720213419589,2023-08-20,11.0,1.6578727,6747815.0,18.8571428571429,91.5343877142857,0,0,0,64.9142655714286,33.2622002857143,24.5605591428571,31.2857142857143,,,,,,210697
2021-08-15,202133,18.0,18,18,18,0.32631853,0.26675302,0,1,330455720213319589,2023-08-20,13.0,0.86657786,6747815.0,17.2857142857143,94.7837425714286,0,0,0,75.9962912857143,44.7176501428571,22.2479297142857,29.0,,,,,,210697
